ID; partition; Off.size.vector; Parent.size; Off.num; Cost.allowed
147; 5, 4, 2; 0, 1, 0, 1, 1; 11; 3; 1
148; 5, 4, 1, 1; 2, 0, 0, 1, 1; 11; 4; 0
149; 5, 3, 3; 0, 0, 2, 0, 1; 11; 3; 1
150; 5, 3, 2, 1; 1, 1, 1, 0, 1; 11; 4; 0
151; 5, 3, 1, 1, 1; 3, 0, 1, 0, 1; 11; 5; 0
152; 5, 2, 2, 2; 0, 3, 0, 0, 1; 11; 4; 1
153; 5, 2, 2, 1, 1; 2, 2, 0, 0, 1; 11; 5; 0
154; 5, 2, 1, 1, 1, 1; 4, 1, 0, 0, 1; 11; 6; 0
155; 5, 1, 1, 1, 1, 1, 1; 6, 0, 0, 0, 1; 11; 7; 0
156; 4, 4, 3; 0, 0, 1, 2; 11; 3; 1
157; 4, 4, 2, 1; 1, 1, 0, 2; 11; 4; 1
158; 4, 4, 1, 1, 1; 3, 0, 0, 2; 11; 5; 1
159; 4, 3, 3, 1; 1, 0, 2, 1; 11; 4; 0
160; 4, 3, 2, 2; 0, 2, 1, 1; 11; 4; 0
161; 4, 3, 2, 1, 1; 2, 1, 1, 1; 11; 5; 0
162; 4, 3, 1, 1, 1, 1; 4, 0, 1, 1; 11; 6; 0
163; 4, 2, 2, 2, 1; 1, 3, 0, 1; 11; 5; 0
164; 4, 2, 2, 1, 1, 1; 3, 2, 0, 1; 11; 6; 0
165; 4, 2, 1, 1, 1, 1, 1; 5, 1, 0, 1; 11; 7; 0
166; 4, 1, 1, 1, 1, 1, 1, 1; 7, 0, 0, 1; 11; 8; 0
167; 3, 3, 3, 2; 0, 1, 3; 11; 4; 1
168; 3, 3, 3, 1, 1; 2, 0, 3; 11; 5; 1
169; 3, 3, 2, 2, 1; 1, 2, 2; 11; 5; 0
170; 3, 3, 2, 1, 1, 1; 3, 1, 2; 11; 6; 0
171; 3, 3, 1, 1, 1, 1, 1; 5, 0, 2; 11; 7; 0
172; 3, 2, 2, 2, 2; 0, 4, 1; 11; 5; 1
173; 3, 2, 2, 2, 1, 1; 2, 3, 1; 11; 6; 0
174; 3, 2, 2, 1, 1, 1, 1; 4, 2, 1; 11; 7; 0
175; 3, 2, 1, 1, 1, 1, 1, 1; 6, 1, 1; 11; 8; 0
176; 3, 1, 1, 1, 1, 1, 1, 1, 1; 8, 0, 1; 11; 9; 0
177; 2, 2, 2, 2, 2, 1; 1, 5; 11; 6; 1
178; 2, 2, 2, 2, 1, 1, 1; 3, 4; 11; 7; 0
179; 2, 2, 2, 1, 1, 1, 1, 1; 5, 3; 11; 8; 0
180; 2, 2, 1, 1, 1, 1, 1, 1, 1; 7, 2; 11; 9; 0
181; 2, 1, 1, 1, 1, 1, 1, 1, 1, 1; 9, 1; 11; 10; 0
182; 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1; 11, 0; 11; 11; 1
183; 11, 1; 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1; 12; 2; 1
184; 10, 2; 0, 1, 0, 0, 0, 0, 0, 0, 0, 1; 12; 2; 1
185; 10, 1, 1; 2, 0, 0, 0, 0, 0, 0, 0, 0, 1; 12; 3; 1
186; 9, 3; 0, 0, 1, 0, 0, 0, 0, 0, 1; 12; 2; 1
187; 9, 2, 1; 1, 1, 0, 0, 0, 0, 0, 0, 1; 12; 3; 1
188; 9, 1, 1, 1; 3, 0, 0, 0, 0, 0, 0, 0, 1; 12; 4; 1
189; 8, 4; 0, 0, 0, 1, 0, 0, 0, 1; 12; 2; 1
190; 8, 3, 1; 1, 0, 1, 0, 0, 0, 0, 1; 12; 3; 1
191; 8, 2, 2; 0, 2, 0, 0, 0, 0, 0, 1; 12; 3; 1
192; 8, 2, 1, 1; 2, 1, 0, 0, 0, 0, 0, 1; 12; 4; 0
193; 8, 1, 1, 1, 1; 4, 0, 0, 0, 0, 0, 0, 1; 12; 5; 1
194; 7, 5; 0, 0, 0, 0, 1, 0, 1; 12; 2; 1
195; 7, 4, 1; 1, 0, 0, 1, 0, 0, 1; 12; 3; 1
196; 7, 3, 2; 0, 1, 1, 0, 0, 0, 1; 12; 3; 1
197; 7, 3, 1, 1; 2, 0, 1, 0, 0, 0, 1; 12; 4; 1
198; 7, 2, 2, 1; 1, 2, 0, 0, 0, 0, 1; 12; 4; 1
199; 7, 2, 1, 1, 1; 3, 1, 0, 0, 0, 0, 1; 12; 5; 0
200; 7, 1, 1, 1, 1, 1; 5, 0, 0, 0, 0, 0, 1; 12; 6; 1
201; 6, 6; 0, 0, 0, 0, 0, 2; 12; 2; 1
202; 6, 5, 1; 1, 0, 0, 0, 1, 1; 12; 3; 0
203; 6, 4, 2; 0, 1, 0, 1, 0, 1; 12; 3; 0
204; 6, 4, 1, 1; 2, 0, 0, 1, 0, 1; 12; 4; 0
205; 6, 3, 3; 0, 0, 2, 0, 0, 1; 12; 3; 0
206; 6, 3, 2, 1; 1, 1, 1, 0, 0, 1; 12; 4; 0
207; 6, 3, 1, 1, 1; 3, 0, 1, 0, 0, 1; 12; 5; 0
208; 6, 2, 2, 2; 0, 3, 0, 0, 0, 1; 12; 4; 0
209; 6, 2, 2, 1, 1; 2, 2, 0, 0, 0, 1; 12; 5; 0
210; 6, 2, 1, 1, 1, 1; 4, 1, 0, 0, 0, 1; 12; 6; 0
211; 6, 1, 1, 1, 1, 1, 1; 6, 0, 0, 0, 0, 1; 12; 7; 0
212; 5, 5, 2; 0, 1, 0, 0, 2; 12; 3; 1
213; 5, 5, 1, 1; 2, 0, 0, 0, 2; 12; 4; 1
214; 5, 4, 3; 0, 0, 1, 1, 1; 12; 3; 1
215; 5, 4, 2, 1; 1, 1, 0, 1, 1; 12; 4; 0
216; 5, 4, 1, 1, 1; 3, 0, 0, 1, 1; 12; 5; 0
217; 5, 3, 3, 1; 1, 0, 2, 0, 1; 12; 4; 0
218; 5, 3, 2, 2; 0, 2, 1, 0, 1; 12; 4; 0
219; 5, 3, 2, 1, 1; 2, 1, 1, 0, 1; 12; 5; 0
220; 5, 3, 1, 1, 1, 1; 4, 0, 1, 0, 1; 12; 6; 0
221; 5, 2, 2, 2, 1; 1, 3, 0, 0, 1; 12; 5; 0
222; 5, 2, 2, 1, 1, 1; 3, 2, 0, 0, 1; 12; 6; 0
223; 5, 2, 1, 1, 1, 1, 1; 5, 1, 0, 0, 1; 12; 7; 0
224; 5, 1, 1, 1, 1, 1, 1, 1; 7, 0, 0, 0, 1; 12; 8; 0
225; 4, 4, 4; 0, 0, 0, 3; 12; 3; 1
226; 4, 4, 3, 1; 1, 0, 1, 2; 12; 4; 0
227; 4, 4, 2, 2; 0, 2, 0, 2; 12; 4; 0
228; 4, 4, 2, 1, 1; 2, 1, 0, 2; 12; 5; 0
229; 4, 4, 1, 1, 1, 1; 4, 0, 0, 2; 12; 6; 0
230; 4, 3, 3, 2; 0, 1, 2, 1; 12; 4; 0
231; 4, 3, 3, 1, 1; 2, 0, 2, 1; 12; 5; 0
232; 4, 3, 2, 2, 1; 1, 2, 1, 1; 12; 5; 0
233; 4, 3, 2, 1, 1, 1; 3, 1, 1, 1; 12; 6; 0
234; 4, 3, 1, 1, 1, 1, 1; 5, 0, 1, 1; 12; 7; 0
235; 4, 2, 2, 2, 2; 0, 4, 0, 1; 12; 5; 0
236; 4, 2, 2, 2, 1, 1; 2, 3, 0, 1; 12; 6; 0
237; 4, 2, 2, 1, 1, 1, 1; 4, 2, 0, 1; 12; 7; 0
238; 4, 2, 1, 1, 1, 1, 1, 1; 6, 1, 0, 1; 12; 8; 0
239; 4, 1, 1, 1, 1, 1, 1, 1, 1; 8, 0, 0, 1; 12; 9; 0
240; 3, 3, 3, 3; 0, 0, 4; 12; 4; 1
241; 3, 3, 3, 2, 1; 1, 1, 3; 12; 5; 0
242; 3, 3, 3, 1, 1, 1; 3, 0, 3; 12; 6; 0
243; 3, 3, 2, 2, 2; 0, 3, 2; 12; 5; 0
244; 3, 3, 2, 2, 1, 1; 2, 2, 2; 12; 6; 0
245; 3, 3, 2, 1, 1, 1, 1; 4, 1, 2; 12; 7; 0
246; 3, 3, 1, 1, 1, 1, 1, 1; 6, 0, 2; 12; 8; 0
